6fe, 802
40e, 802
1d1, 802
79, 802
4e, 801
14e, 800
360, 801
617, 802
930, 802
bff, 800
e4b, 801
f7d, 802
fab, 802
e84, 803
c80, 801
9a9, 800
6a8, 802
3ca, 803
19d, 802
63, 802
5c, 802
17a, 802
3a4, 801
66a, 803
984, 801
c45, 803
e7d, 801
f90, 800
f9d, 801
e57, 802
c38, 801
955, 802
655, 802
382, 800
16e, 802
52, 802
71, 801
1ab, 800
3ed, 802
6c0, 800
9d8, 801
c8b, 802
eab, 802
f9d, 800
f89, 802
e26, 800
bf1, 802
902, 800
603, 801
33c, 801
144, 801
48, 803
84, 801
1df, 800
436, 801
713, 803
a2b, 801
ccd, 802
ed5, 7ff
fa9, 800
f70, 801
df2, 800
ba6, 801
8ac, 802
5b0, 802
2f9, 803
11a, 802
3e, 803
9d, 801
213, 802
483, 802
768, 802
a7c, 801
d10, 802
efc, 801
fad, 800
f58, 802
db9, 802
b5b, 801
857, 802
55e, 801
2b9, 802
f5, 802
39, 802
b7, 802
24e, 802
4cf, 802
7bf, 800
acc, 801
d50, 802
f1f, 801
fb3, 803
f3a, 802
d7d, 800
b0b, 802
802, 802
50f, 801
27c, 803
d3, 801
36, 802
d8, 801
288, 802
51d, 801
814, 800
b1a, 801
d8a, 800
f3f, 801
fb2, 802
f18, 801
d40, 800
abc, 802
7ab, 803
4c0, 802
241, 800
b3, 802
3a, 802
fa, 801
2c6, 800
570, 801
867, 800
b69, 801
dc5, 800
f5c, 801
fae, 800
ef3, 802
d04, 800
a6c, 801
758, 802
474, 801
208, 802
98, 802
40, 803
121, 802
306, 802
5be, 801
8bd, 800
bb3, 801
dfb, 802
f78, 801
fa6, 800
eca, 802
cc1, 803
a1a, 801
702, 800
429, 802
1d5, 803
7f, 801
48, 800
149, 801
34a, 802
611, 801
910, 800
bff, 801
e2f, 800
f8b, 801
f9d, 800
e9f, 801
c7c, 800
9c6, 801
6af, 802
3e0, 802
1a1, 802
6c, 802
56, 800
178, 801
38c, 802
662, 801
967, 800
c46, 802
e61, 802
f9e, 801
f8c, 802
e72, 801
c35, 800
972, 801
65c, 803
398, 801
170, 803
5a, 801
65, 802
1a7, 801
3d6, 800
6b7, 801
9b8, 800
c8f, 801
e8f, 802
faf, 801
f7a, 802
e41, 802
bee, 800
91f, 802
608, 802
354, 801
143, 802
4e, 801
7b, 800
1d8, 802
41d, 802
70d, 802
a0b, 802
cd4, 802
ebb, 802
fba, 801
f64, 800
e0c, 801
ba4, 800
8cb, 802
5b5, 802
311, 802
11e, 802
44, 801
92, 802
211, 801
46a, 800
760, 801
a5b, 801
d14, 7ff
edf, 800
fc1, 800
f4a, 802
dd7, 801
b58, 800
874, 801
566, 802
2ce, 801
f5, 802
40, 804
ae, 800
247, 801
4b8, 802
7b7, 801
aac, 802
d52, 802
f04, 802
fc4, 801
f2e, 802
d9c, 801
b0c, 802
820, 802
516, 800
291, 802
d4, 800
3c, 802
cc, 800
282, 801
504, 803
80d, 802
afb, 800
d8f, 801
f27, 800
fc3, 801
f0e, 800
d5e, 801
abc, 800
7cb, 801
4c7, 802
256, 801
b3, 802
3d, 801
ec, 800
2bf, 801
553, 802
861, 801
b4a, 800
dc8, 801
f44, 802
fc2, 801
ee9, 800
d21, 801
a6d, 802
774, 802
47b, 802
21a, 802
99, 802
41, 802
113, 801
300, 801
5a3, 800
8b8, 801
b96, 802
e01, 801
f5f, 800
fba, 802
ec2, 800
ce0, 802
a1c, 800
721, 802
42f, 803
1e5, 801
81, 802
4c, 801
13b, 803
344, 801
5f7, 803
90d, 801
be0, 803
e34, 801
f76, 800
faf, 801
e98, 802
c9e, 801
9c9, 802
6cd, 801
3e5, 803
1b3, 801
69, 802
59, 802
166, 800
387, 801
647, 802
95f, 801
c29, 800
e68, 802
f89, 802
fa1, 801
e6b, 802
c55, 802
979, 800
677, 801
3a1, 802
184, 801
59, 803
69, 801
197, 801
3cf, 801
69e, 801
9b2, 801
c6e, 803
e97, 801
f97, 802
f90, 802
e39, 803
c0f, 801
924, 803
623, 801
35a, 802
155, 801
4a, 802
7a, 802
1c8, 802
419, 802
6f1, 800
a06, 801
cb2, 800
ec3, 801
fa4, 800
f7a, 802
e07, 800
bc4, 801
8ce, 800
5d1, 801
315, 803
12b, 802
40, 802
93, 801
1fc, 800
466, 801
745, 801
a5a, 801
cf7, 802
eeb, 802
fae, 802
f63, 802
dce, 803
b78, 801
87b, 802
580, 801
2d4, 803
105, 801
3a, 802
ab, 802
237, 800
4af, 801
79a, 802
aab, 802
d35, 803
f12, 801
fb2, 800
f44, 801
d99, 800
b2c, 801
823, 800
531, 801
296, 802
df, 802
3a, 802
c9, 802
270, 801
4fe, 801
7ef, 800
af8, 801
d75, 800
f33, 802
fb2, 800
f27, 801
d5c, 803
adc, 801
7d0, 800
4e0, 802
259, 800
bf, 802
36, 802
e9, 801
2ad, 802
54d, 801
845, 802
b49, 801
dac, 802
f52, 800
fb0, 803
f04, 801
d1c, 802
a8b, 801
77a, 802
491, 801
220, 803
a4, 802
3c, 802
113, 801
2ed, 800
59e, 801
89b, 800
b95, 801
de7, 800
f6a, 801
fab, 802
edc, 802
cdf, 803
a3a, 801
725, 802
447, 801
1eb, 802
89, 801
45, 803
138, 801
32d, 802
5ef, 801
8ed, 800
bdf, 802
e19, 802
f84, 801
f9f, 800
eb2, 7ff
c99, 800
9e9, 7ff
6d1, 803
3fe, 7ff
1b8, 802
73, 801
50, 802
164, 802
372, 802
643, 802
944, 800
c29, 801
e4d, 800
f97, 801
f93, 800
e86, 801
c52, 802
996, 801
67d, 803
3b6, 801
187, 803
62, 802
60, 802
193, 802
3b7, 802
697, 801
995, 800
c71, 801
e7b, 802
fa8, 802
f82, 800
e57, 802
c0d, 802
942, 801
629, 802
36f, 801
157, 802
52, 801
71, 802
1c5, 802
3ff, 802
6eb, 801
9e8, 800
cb6, 801
eaa, 802
fb5, 802
f6e, 802
e23, 801
bc2, 802
8ed, 802
5d9, 800
32c, 801
12e, 803
47, 802
88, 800
1f8, 801
44c, 800
73c, 801
a3c, 802
cf9, 801
ed0, 800
fbf, 801
f54, 802
dee, 801
b7a, 802
897, 801
588, 802
2ea, 802
107, 800
40, 802
a2, 802
22e, 802
496, 801
795, 802
a8d, 800
d39, 802
ef6, 800
fc4, 801
f38, 800
db4, 801
b2c, 800
843, 801
538, 800
2aa, 801
e3, 802
3d, 801
be, 800
26c, 801
4e5, 801
7e8, 802
ade, 800
d77, 802
f1a, 801
fc6, 802
f1a, 800
d79, 801
add, 800
7ed, 801
4e7, 802
26f, 802
bf, 800
3d, 801
e0, 802
2a7, 801
534, 802
